,YEAR,SAMPLE,SERIAL,CBSERIAL,HHWT,CLUSTER,STATEFIP,COUNTYFIP,STRATA,GQ,OWNERSHP,OWNERSHPD,MORTGAGE,MORTGAG2,MORTAMT1,MORTAMT2,RENT,RENTGRS,HHINCOME,PERNUM,PERWT,SEX,AGE,IND,INCTOT,INCWAGE
7290,2017,201701,402829,2.017E+12,68,2.017E+12,15,3,30515,1,1,13,3,1,2300,0,0,0,123500,3,125,1,12,0,9999999,999999
7291,2017,201701,402830,2.017E+12,187,2.017E+12,15,0,10015,1,2,22,0,0,0,0,2500,2740,0,1,188,1,48,0,0,0
7292,2017,201701,402830,2.017E+12,187,2.017E+12,15,0,10015,1,2,22,0,0,0,0,2500,2740,0,2,162,2,52,770,0,0
7293,2017,201701,402831,2.017E+12,241,2.017E+12,15,3,30415,1,2,22,0,0,0,0,1400,1560,53000,1,242,1,41,9080,23000,13000
7294,2017,201701,402831,2.017E+12,241,2.017E+12,15,3,30415,1,2,22,0,0,0,0,1400,1560,53000,2,327,2,42,6870,30000,30000
7295,2017,201701,402831,2.017E+12,241,2.017E+12,15,3,30415,1,2,22,0,0,0,0,1400,1560,53000,3,173,2,13,0,9999999,999999
7296,2017,201701,402832,2.017E+12,76,2.017E+12,15,3,30515,1,1,13,3,1,1200,0,0,0,121790,1,75,2,64,6990,44130,44100
7297,2017,201701,402832,2.017E+12,76,2.017E+12,15,3,30515,1,1,13,3,1,1200,0,0,0,121790,2,118,1,32,4470,30560,30300
7298,2017,201701,402832,2.017E+12,76,2.017E+12,15,3,30515,1,1,13,3,1,1200,0,0,0,121790,3,131,1,26,8680,0,0
7299,2017,201701,402832,2.017E+12,76,2.017E+12,15,3,30515,1,1,13,3,1,1200,0,0,0,121790,4,91,1,92,0,47100,0
7300,2017,201701,402833,2.017E+12,65,2.017E+12,15,3,30715,1,1,12,1,0,0,0,0,0,128000,1,65,2,46,7860,70000,70000
7301,2017,201701,402833,2.017E+12,65,2.017E+12,15,3,30715,1,1,12,1,0,0,0,0,0,128000,2,69,1,44,7860,58000,58000
7302,2017,201701,402833,2.017E+12,65,2.017E+12,15,3,30715,1,1,12,1,0,0,0,0,0,128000,3,63,2,14,0,9999999,999999
7303,2017,201701,402833,2.017E+12,65,2.017E+12,15,3,30715,1,1,12,1,0,0,0,0,0,128000,4,91,1,10,0,9999999,999999
7304,2017,201701,402833,2.017E+12,65,2.017E+12,15,3,30715,1,1,12,1,0,0,0,0,0,128000,5,64,2,5,0,9999999,999999
7305,2017,201701,402834,2.017E+12,72,2.017E+12,15,3,30415,1,2,22,0,0,0,0,850,890,13800,1,73,1,60,4970,13800,13800
7306,2017,201701,402835,2.017E+12,99,2.017E+12,15,3,30615,1,2,22,0,0,0,0,1700,1700,65600,1,99,1,72,0,22800,0
7307,2017,201701,402835,2.017E+12,99,2.017E+12,15,3,30615,1,2,22,0,0,0,0,1700,1700,65600,2,114,1,46,4170,42800,42800
7308,2017,201701,402836,2.017E+12,107,2.017E+12,15,0,10015,1,1,13,3,1,4400,0,0,0,142000,1,107,2,60,7890,142000,0
7309,2017,201701,402837,2.017E+12,103,2.017E+12,15,3,30515,1,2,22,0,0,0,0,300,340,10000,1,103,2,61,8680,10000,10000
7310,2017,201701,402838,2.017E+12,182,2.017E+12,15,3,30515,1,2,22,0,0,0,0,1100,1150,28800,1,182,2,66,7860,28800,0
7311,2017,201701,402839,2.017E+12,69,2.017E+12,15,0,10015,1,1,13,3,1,1200,0,0,0,16000,1,69,2,69,0,16000,0
7312,2017,201701,402840,2.017E+12,97,2.017E+12,15,1,20015,1,2,22,0,0,0,0,500,591,60000,1,97,1,70,9370,60000,60000
